Viti,Muaji,Pershkrimi,Statusi,Komuna,Tatimpaguesit,Blerjet dhe importet investive pa TVSH,Blerjet dhe importet investive me TVSH jo te zbritshme,Importet investive me norme 18%,Importet investive me norme 8%,Blerjet investive vendore me norme 18%,Blerjet investive vendore me norme 8%
2019,1,4,20,25,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,5,26,65,0.0,23397.81,0.0,0.0,966.1,10648.15
2019,1,4,17,26,5,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,20,26,83,8467.3,51475.94,0.0,0.0,4719.31,0.0
2019,1,4,5,27,20,1985.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,7,27,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,17,27,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,20,27,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,20,30,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,5,32,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,17,32,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,5,33,6,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,5,34,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,20,34,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,4,5,35,2,180.0,10000.0,0.0,0.0,0.0,0.0
2019,1,5,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,2,8,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,7,2,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,14,2,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,20,2,5,0.0,54708.13,0.0,0.0,4031.5,0.0
2019,1,5,5,3,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,20,3,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,4,13,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,14,4,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,17,4,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,20,4,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,5,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,20,5,5,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,14,7,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,20,7,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,8,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,9,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,20,9,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,12,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,17,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,19,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,14,21,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,22,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,24,15,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,14,24,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,20,24,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,25,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,14,25,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,20,25,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,5,26,65,0.0,0.0,0.0,0.0,413.54,0.0
2019,1,5,7,26,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,13,26,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,14,26,75,5483.12,12446.12,0.0,0.0,0.0,0.0
2019,1,5,17,26,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,5,19,26,1,0.0,0.0,0.0,0.0,0.0,0.0
